Asobo Variables,AIR Tbl,Type,Offset,VarType,Description,Main Key,Table 17 (MANUAL),Filter
elevator_scaling_table,0341,P,,RECORD,Elevators Effectivity Table,,,
aileron_scaling_table,0342,P,,RECORD,Ailerons Effectivity Table,,,
rudder_scaling_table,0343,P,,RECORD,Rudder Effectivity Table,,,
lift_coef_ground_effect_mach_table,0400,P,,RECORD,Ground Effects,,,
lift_coef_mach_table,0401,P,,RECORD,Wing Cl vs Mach Factor,,,
lift_coef_aoa_table,0404,P,,TBLDB,Wing Cl vs AoA Table,,,
lift_coef_delta_elevator_mach_table,0410,P,,RECORD,CL_de - Lift - Elevator vs. Mach,,tbl17,
lift_coef_daoa_mach_table,0411,P,,RECORD,CL_adot - Lift - AoA Rate vs. Mach,,tbl17,
lift_coef_pitch_rate_mach_table,0412,P,,RECORD,CL_q - Lift - Pitch Rate vs. Mach,,tbl17,
lift_coef_horizontal_incidence_mach_table,0413,P,,RECORD,CL_dh - Lift - H.Stab vs. Mach,,tbl17,
pitch_moment_delta_elevator_mach_table,0420,P,,RECORD,Cm_de - Pitch Mom - Elevator vs. Mach,,tbl17,
pitch_moment_daoa_mach_table,0421,P,,RECORD,Cm_adot - Pitch Mom - AoA Rate vs. Mach,,tbl17,
pitch_moment_pitch_rate_mach_table,0422,P,,RECORD,Cm_q - Pitch Damping vs. Mach,,tbl17,
pitch_moment_horizontal_incidence_mach_table,0423,P,,RECORD,Cm_dh - Pitch Mom - H.Stab vs. Mach,,tbl17,
drag_coef_zero_lift_mach_tab,0430,P,,RECORD,Zero Lift Drag vs. Mach,,tbl17,
pitch_moment_aoa_0_mach_table,0433,P,,RECORD,Cm0 vs. Mach,,tbl17,
side_force_slip_angle_mach_table,0440,P,,RECORD,CY_beta - Sideforce - Sideslip vs. Mach,,tbl17,
side_force_delta_rudder_mach_table,0441,P,,RECORD,CY_dr - Sideforce - Rudder vs. Mach,,tbl17,
side_force_yaw_rate_mach_table,0442,P,,RECORD,CY_r - Sideforce - Yaw Rate vs. Mach,,tbl17,
side_force_roll_rate_mach_table,0443,P,,RECORD,CY_p - Sideforce - Roll Rate vs. Mach,,tbl17,
