PHASE,WEIGHT,ALT.,MACH,CAS,TAS,WIND,SR,RATE,GRDT,ALPH,WFE,N1,EGT,CL,CD,FN,DRAG,PCFN,TIME,FUEL,DIST,theta, theta2,CN1
CRZ,100000,10000,0.452,250,288.7,,0.07461,,,1.84,3869,54.565,569,,,,,25.9,,,,0.931285789,0.969338871,55.42125363
CRZ,105000,10000,0.452,250,288.7,,0.07406,,,2.01,3898,54.853,569,,,,,26.4,,,,0.931285789,0.969338871,55.71377303
CRZ,110000,10000,0.452,250,288.7,,0.0735,,,2.17,3928,55.149,570,,,,,26.9,,,,0.931285789,0.969338871,56.01441796
CRZ,115000,10000,0.452,250,288.7,,0.07291,,,2.34,3960,55.466,570,,,,,27.4,,,,0.931285789,0.969338871,56.33639244
CRZ,100000,11000,0.461,250,293,,0.07679,,,1.84,3816,55.313,568,,,,,26.6,,,,0.924414368,0.963705861,56.34494558
CRZ,105000,11000,0.461,250,293,,0.07616,,,2,3847,55.611,568,,,,,27.1,,,,0.924414368,0.963705861,56.64850521
CRZ,120000,10000,0.452,250,288.7,,0.0723,,,2.5,3993,55.8,570,,,,,28,,,,0.931285789,0.969338871,56.67563369
CRZ,100000,10000,0.47,260,300.1,,0.07407,,,1.58,4051,56.017,575,,,,,27.7,,,,0.931285789,0.972429995,56.80553746
CRZ,110000,11000,0.461,250,293,,0.07552,,,2.17,3880,55.92,569,,,,,27.6,,,,0.924414368,0.963705861,56.96327006
CRZ,125000,10000,0.452,250,288.7,,0.07168,,,2.67,4028,56.146,571,,,,,28.5,,,,0.931285789,0.969338871,57.02706325
CRZ,105000,10000,0.47,260,300.1,,0.07351,,,1.73,4082,56.276,576,,,,,28.1,,,,0.931285789,0.972429995,57.06818334
CRZ,115000,11000,0.461,250,293,,0.07485,,,2.33,3915,56.25,570,,,,,28.1,,,,0.924414368,0.963705861,57.2994267
CRZ,100000,12000,0.469,250,297.4,,0.07868,,,1.83,3780,56.099,569,,,,,27.3,,,,0.917542946,0.957907679,57.31829883
CRZ,110000,10000,0.47,260,300.1,,0.07288,,,1.88,4117,56.567,577,,,,,28.6,,,,0.931285789,0.972429995,57.36327968
CRZ,130000,10000,0.452,250,288.7,,0.07103,,,2.83,4064,56.513,571,,,,,29.1,,,,0.931285789,0.969338871,57.39982234
CRZ,105000,12000,0.469,250,297.4,,0.07797,,,2,3814,56.41,570,,,,,27.8,,,,0.917542946,0.957907679,57.63605834
CRZ,120000,11000,0.461,250,293,,0.07416,,,2.5,3951,56.597,570,,,,,28.7,,,,0.924414368,0.963705861,57.6529005
CRZ,115000,10000,0.47,260,300.1,,0.07227,,,2.03,4152,56.859,578,,,,,29.1,,,,0.931285789,0.972429995,57.65939009
CRZ,100000,11000,0.479,260,304.5,,0.07561,,,1.57,4027,56.807,578,,,,,28.4,,,,0.924414368,0.966834079,57.77312767
CRZ,135000,10000,0.452,250,288.7,,0.07026,,,2.99,4109,56.894,572,,,,,29.8,,,,0.931285789,0.969338871,57.78680113
CRZ,120000,10000,0.47,260,300.1,,0.07159,,,2.18,4192,57.144,580,,,,,29.6,,,,0.931285789,0.972429995,57.94840196
CRZ,110000,12000,0.469,250,297.4,,0.07719,,,2.16,3853,56.718,571,,,,,28.3,,,,0.917542946,0.957907679,57.95075265
CRZ,125000,11000,0.461,250,293,,0.07327,,,2.66,3999,56.943,572,,,,,29.2,,,,0.924414368,0.963705861,58.00535564
CRZ,105000,11000,0.479,260,304.5,,0.07499,,,1.72,4061,57.075,579,,,,,28.9,,,,0.924414368,0.966834079,58.0456856
CRZ,140000,10000,0.452,250,288.7,,0.06926,,,3.16,4168,57.279,575,,,,,30.4,,,,0.931285789,0.969338871,58.17784269
CRZ,100000,10000,0.488,270,311.4,,0.07263,,,1.34,4288,57.536,587,,,,,29.7,,,,0.931285789,0.975641813,58.24980333
CRZ,125000,10000,0.47,260,300.1,,0.07087,,,2.33,4234,57.451,581,,,,,30.1,,,,0.931285789,0.972429995,58.25972353
CRZ,115000,12000,0.469,250,297.4,,0.07636,,,2.33,3895,57.044,573,,,,,28.8,,,,0.917542946,0.957907679,58.28383819
CRZ,100000,13000,0.478,250,301.9,,0.08031,,,1.83,3759,56.889,571,,,,,28,,,,0.910671525,0.9522863,58.2967752
CRZ,110000,11000,0.479,260,304.5,,0.07437,,,1.88,4095,57.345,580,,,,,29.3,,,,0.924414368,0.966834079,58.32027754
CRZ,130000,11000,0.461,250,293,,0.07234,,,2.82,4051,57.309,575,,,,,29.9,,,,0.924414368,0.963705861,58.37818391
CRZ,105000,10000,0.488,270,311.4,,0.07218,,,1.48,4314,57.751,587,,,,,30.1,,,,0.931285789,0.975641813,58.46747066
CRZ,130000,10000,0.47,260,300.1,,0.07014,,,2.48,4278,57.769,583,,,,,30.7,,,,0.931285789,0.972429995,58.58219993
CRZ,145000,10000,0.452,250,288.7,,0.06823,,,3.32,4231,57.687,578,,,,,31.1,,,,0.931285789,0.969338871,58.59224517
CRZ,105000,13000,0.478,250,301.9,,0.07957,,,1.99,3794,57.193,572,,,,,28.5,,,,0.910671525,0.9522863,58.60829799
CRZ,115000,11000,0.479,260,304.5,,0.07373,,,2.03,4131,57.631,581,,,,,29.8,,,,0.924414368,0.966834079,58.6111416
CRZ,120000,12000,0.469,250,297.4,,0.07551,,,2.49,3939,57.388,574,,,,,29.4,,,,0.917542946,0.957907679,58.63531495
CRZ,110000,10000,0.488,270,311.4,,0.0717,,,1.62,4343,57.989,588,,,,,30.5,,,,0.931285789,0.975641813,58.70842334
CRZ,100000,12000,0.488,260,309.1,,0.07733,,,1.57,3997,57.58,579,,,,,29.1,,,,0.917542946,0.961244416,58.72928933
CRZ,135000,11000,0.461,250,293,,0.07138,,,2.99,4105,57.693,577,,,,,30.5,,,,0.924414368,0.963705861,58.76934799
CRZ,120000,11000,0.479,260,304.5,,0.07307,,,2.18,4168,57.927,582,,,,,30.3,,,,0.924414368,0.966834079,58.91217573
CRZ,135000,10000,0.47,260,300.1,,0.0694,,,2.64,4324,58.099,584,,,,,31.3,,,,0.931285789,0.972429995,58.91684526
CRZ,110000,13000,0.478,250,301.9,,0.07881,,,2.16,3831,57.509,574,,,,,29,,,,0.910671525,0.9522863,58.93211772
CRZ,115000,10000,0.488,270,311.4,,0.07119,,,1.76,4375,58.247,588,,,,,30.9,,,,0.931285789,0.975641813,58.96962414
CRZ,125000,12000,0.469,250,297.4,,0.07464,,,2.65,3984,57.744,576,,,,,30,,,,0.917542946,0.957907679,58.99905252
