PHASE,WEIGHT,ALT.,MACH,CAS,TAS,WIND,SR,RATE,GRDT,ALPH,WFE,N1,EGT,CL,CD,FN,DRAG,PCFN,FN100,TIME,FUEL,DIST,delta,theta,delta2,theta2,TSFC,cFN,cFN100,cTSFC,cFF,cN1
CRZ,95116.12528,24000,0.8,344.6,483.6,,0.07547786,,,0.02,6406.62572,79.407,722,,,10272.52343,,72,14267.39365,929.74,103299.6747,7493,0.387809916,0.835085893,0.591154171,0.941976887,0.623666207,8688.531633,12067.40505,0.642587228,5583.139455,81.81607956
CRZ,103617.14,24000,0.8,344.6,483.6,,0.074992516,,,0.13,6448.5135,79.603,724,,,10327.6975,,72.6,14225.47864,850.38,94798.66,6853.4,0.387809916,0.835085893,0.591154171,0.941976887,0.624390238,8735.198027,12031.95321,0.643333225,5619.643119,82.01802588
CRZ,95116.12528,28000,0.8,317.2,475.5,,0.087520752,,,0.26,5432.18368,78.751,700,,,9210.21549,,70.2,13119.96509,1068.43,103299.6747,8467.7,0.32525531,0.807600208,0.495799682,0.910973035,0.589799846,9288.242631,13231.11486,0.617947947,5739.650469,82.5093786
CRZ,97003.28,30000,0.8,303.9,471.5,,0.094288358,,,0.43,5000.07816,78.559,685,,,8557.437791,,68.6,12474.39911,1115.2,101412.52,8762.8,0.297198401,0.793857366,0.453031414,0.895471109,0.584296174,9444.640629,13767.69771,0.61745776,5831.66665,83.01759682
CRZ,152118.78,24000,0.8,344.6,483.6,,0.072742695,,,0.77,6646.9293,81.064,714,,,11044.99438,,77.5,14251.60565,405.45,46297.02,3267.6,0.387809916,0.835085893,0.591154171,0.941976887,0.601804679,9341.889918,12054.05151,0.620062457,5792.555215,83.52335025
CRZ,105821.76,32000,0.8,290.9,467.4,,0.100996997,,,0.76,4627.49738,78.795,669,,,8073.475842,,68.6,11768.91522,1063.76,92594.04,8285.9,0.271134235,0.780114524,0.413300763,0.879969183,0.573172878,9767.071064,14237.71292,0.611015039,5967.82731,83.99722302
CRZ,143300.3,28000,0.8,317.2,475.5,,0.083379449,,,1.01,5703.35194,80.65,695,,,10028.75389,,76.5,13109.48221,546.38,55115.5,4330.3,0.32525531,0.807600208,0.495799682,0.910973035,0.56869996,10113.71553,13220.54317,0.595841073,6026.167112,84.49900806
CRZ,99207.9,36000,0.8,265.8,459,,0.116246791,,,1.02,3948.47442,78.324,657,,,7192.561047,,69.9,10289.78691,965.48,72086.66476,7386.6,0.224547889,0.752628839,0.342287331,0.848965331,0.54896641,10506.61299,15030.91987,0.595800406,6259.844283,85.0060588
CRZ,132277.2,32000,0.8,290.9,467.4,,0.09520008,,,1.26,4909.68874,80.242,686,,,8640.302922,,73.4,11771.52987,730.25,66138.6,5688.1,0.271134235,0.780114524,0.413300763,0.879969183,0.568231089,10452.80302,14240.87605,0.605746983,6331.753892,85.53975721
CRZ,138891.06,32000,0.8,290.9,467.4,,0.093589825,,,1.38,4993.4643,80.675,692,,,8817.721952,,74.9,11772.65948,650.11,59524.74,5063.9,0.271134235,0.780114524,0.413300763,0.879969183,0.56629868,10667.43973,14242.24263,0.603686992,6439.794596,86.00134484
CRZ,132277.2,34000,0.8,278.2,463.2,,0.100216817,,,1.5,4623.08814,80.473,687,,,8375.892811,,75.9,11035.4319,638.29,54559.93576,4927.8,0.246952679,0.766371681,0.376439849,0.864467257,0.551951684,11125.14103,14657.62981,0.593644965,6604.383951,86.55176286
CRZ,169755.74,30000,0.8,303.9,471.5,,0.082367936,,,1.68,5723.19352,82.392,715,,,10187.99715,,81.8,12454.76424,287.33,28660.06,2257.8,0.297198401,0.793857366,0.453031414,0.895471109,0.561758453,11244.25023,13746.02717,0.593640917,6675.047012,87.06813779
CRZ,158732.64,32000,0.8,290.9,467.4,,0.088459689,,,1.75,5284.47414,82.08,708,,,9402.39989,,79.9,11767.7095,418.01,39683.16,3256,0.271134235,0.780114524,0.413300763,0.879969183,0.562034608,11374.76716,14236.25427,0.599141397,6815.093884,87.4991061
CRZ,134481.82,36000,0.8,265.8,459,,0.10386824,,,1.82,4420.2631,81.126,691,,,8195.552894,,79.7,10283.00238,456.81,36812.74476,3494.9,0.224547889,0.752628839,0.342287331,0.848965331,0.539348981,11971.74441,15021.0093,0.585362484,7007.810043,88.04710595
CRZ,138891.06,36000,0.8,265.8,459,,0.102040261,,,1.92,4499.62942,81.561,696,,,8359.699911,,81.3,10282.53372,397.47,32403.50476,3040.9,0.224547889,0.752628839,0.342287331,0.848965331,0.538252505,12211.52398,15020.3247,0.584172464,7133.636059,88.51921713
CRZ,143300.3,36000,0.8,265.8,459,,0.100062596,,,2.02,4587.81422,82.049,701,,,8555.095456,,83.2,10282.56665,339.23,27994.26476,2595.3,0.224547889,0.752628839,0.342287331,0.848965331,0.536266865,12496.95018,15020.37281,0.582017423,7273.442743,89.04884989
CRZ,163141.88,34000,0.8,278.2,463.2,,0.089502953,,,2.14,5176.44776,83.302,718,,,9524.738988,,86.4,11024.00346,257.98,23695.25576,1991.6,0.246952679,0.766371681,0.376439849,0.864467257,0.543473975,12651.07695,14642.45018,0.584526868,7394.894382,89.59445962
CRZ,130072.58,38000,0.8,253.7,458.9,,0.10901652,,,2.02,4208.61958,82.142,706,,,7736.176839,,83.5,9264.882442,332.07,25101.80332,2539.6,0.20381822,0.738885997,0.310688267,0.833463404,0.544018017,12450.06275,14910.25479,0.595895375,7418.934816,89.97503102
CRZ,154323.4,36000,0.8,265.8,459,,0.094673912,,,2.27,4847.95938,83.461,717,,,9114.313137,,88.6,10287.03514,198.84,16971.16476,1521.3,0.224547889,0.752628839,0.342287331,0.848965331,0.531906169,13313.83358,15026.90021,0.577284703,7685.872461,90.58131191
CRZ,174164.98,34000,0.8,278.2,463.2,,0.08455879,,,2.36,5478.4807,84.765,736,,,10137.31085,,92,11018.81614,133.58,12672.15576,1031.3,0.246952679,0.766371681,0.376439849,0.864467257,0.540427415,13464.71539,14635.56021,0.581250177,7826.368202,91.1679716
CRZ,141095.68,38000,0.8,253.7,458.9,,0.10247571,,,2.29,4477.58322,83.729,725,,,8301.334668,,89.6,9264.882442,179.48,14078.70332,1372.6,0.20381822,0.738885997,0.310688267,0.833463404,0.539381124,13359.58829,14910.25479,0.59081631,7893.062656,91.71336676
CRZ,143300.3,38000,0.8,253.7,458.9,,0.100942566,,,2.35,4545.92644,84.12,730,,,8440.307905,,91.1,9264.882442,150.16,11874.08332,1148.4,0.20381822,0.738885997,0.310688267,0.833463404,0.538597228,13583.24212,14910.25479,0.589957662,8013.537763,92.14165237
CRZ,145504.92,38000,0.8,253.7,458.9,,0.099436638,,,2.4,4614.26966,84.516,734,,,8579.281141,,92.6,9264.882442,121.28,9669.46332,927.5,0.20381822,0.738885997,0.310688267,0.833463404,0.537838728,13806.89594,14910.25479,0.589126832,8134.01287,92.57541479
CRZ,167551.12,36000,0.8,265.8,459,,0.086795003,,,2.57,5288.88338,85.724,743,,,10030.56876,,97.3,10308.90931,41.88,3743.44476,320.4,0.224547889,0.752628839,0.342287331,0.848965331,0.527276519,14652.2641,15058.85314,0.572260084,8384.905882,93.03737533
CRZ,149914.16,38000,0.8,253.7,458.9,,0.096266023,,,2.51,4766.38844,85.362,743,,,8875.75738,,95.8,9264.882442,64.87,5260.22332,496.1,0.20381822,0.738885997,0.310688267,0.833463404,0.537012025,14284.02409,14910.25479,0.588221294,8402.167141,93.50208904
CRZ,152118.78,38000,0.8,253.7,458.9,,0.094633089,,,2.57,4847.95938,85.811,748,,,9033.260381,,97.5,9264.882442,37.36,3055.60332,285.7,0.20381822,0.738885997,0.310688267,0.833463404,0.536678804,14537.49842,14910.25479,0.587856298,8545.96001,93.99390551
CRZ,154323.4,38000,0.8,253.7,458.9,,0.092982011,,,2.62,4933.93956,86.275,753,,,9200.028265,,99.3,9264.882442,10.32,850.98332,78.9,0.20381822,0.738885997,0.310688267,0.833463404,0.536296131,14805.88301,14910.25479,0.587437133,8697.525468,94.50215238
CRZ,155174.3833,38000,0.8,253.7,458.9,,0.092351516,,,2.64,4969.21348,86.462,755,,,9264.882442,,100,9264.882442,0,0,0,0.20381822,0.738885997,0.310688267,0.833463404,0.536349329,14910.25479,14910.25479,0.587495404,8759.706168,94.70698463
